Id,Label,Season
ADDAM_MARBRAND,Addam,1
AEGON,Aegon,1
AERYS,Aerys,1
ALLISER_THORNE,Allister,1
ARYA,Arya,1
ASSASSIN,Assassin,1
BAELOR,Baelor,1
BALON,Balon,1
BARRISTAN,Barristan,1
BENJEN,Benjen,1
BERIC,Beric,1
BORCAS,Borcas,1
BOWEN_MARSH,Bowen,1
BRAN,Bran,1
BRANDON_STARK,Brandon,1
BRONN,Bronn,1
CATELYN,Catelyn,1
CERSEI,Cersei,1
COHOLLO,Cohollo,1
DAENERYS,Daenerys,1
DAREON,Dareon,1
DOREAH,Doreah,1
DROGO,Drogo,1
GALBART_GLOVER,Galbart,1
GARED,Gared,1
GENDRY,Gendry,1
GREATJON_UMBER,Greatjon,1
GRENN,Grenn,1
HIGH_SEPTON,High Septon,1
HODOR,Hodor,1
HOSTER,Hoster,1
HOT_PIE,Hot Pie,1
HOUND,Sandor,1
HUGH_OF_THE_VALE,Hugh of the Vale,1
ILLYRIO,Illyrio,1
ILYN_PAYNE,Ilyn,1
IROGENIA,Irogenia,1
IRRI,Irri,1
JAIME,Jaime,1
JANOS,Janos,1
JAREMY_RYKKER,Jaremy,1
JEOR,Jeor,1
JHIQUI,Jhiqui,1
JOANNA,Joanna,1
JOFFREY,Joffrey,1
JON,Jon,1
JON_ARRYN,Jon Arryn,1
JONOS_BRACKEN,Jonos,1
JORAH,Jorah,1
JORY_CASSEL,Jory,1
JOYEUSE,Joyeuse,1
KEVAN,Kevan,1
LANCEL,Lancel,1
LEO_LEFFORD,Leo,1
LITTLE_BIRD,Little Bird,1
LITTLEFINGER,Petyr,1
LOMMY_GREENHANDS,Lommy,1
LORAS,Loras,1
LUKE,Luke,1
LYANNA,Lyanna,1
LYSA,Lysa,1
MACE,Mac,1
MAESTER_AEMON,Aemon,1
MAESTER_LUWIN,Luwin,1
MAGO,Mago,1
MARILLION,Marillion,1
MASHA_HEDDLE,Masha,1
MELESSA,Melessa,1
MERYN_TRANT,Meryn,1
MHAEGEN,Mhaegen,1
MIRRI_MAZ_DUUR,Mirri Maz Dur,1
MORD,Mord,1
MOUNTAIN,Gregor,1
MYCAH,Mycah,1
MYRCELLA,Myrcella,1
NED,Ned,1
OLD_NAN,Old Nan,1
OSHA,Osha,1
OTHELL_YARWYCK,Othell,1
OTHOR,Othor,1
PYCELLE,Pycelle,1
PYP,Pyp,1
QOTHO,Qotho,1
RAKHARO,Rakharo,1
RANDYLL,Randyll,1
RAST,Rast,1
RENLY,Renly,1
RHAEGAR,Rhaegar,1
RHAEGO,Rhaego,1
RICKARD_KARSTARK,Rickard Karstark,1
RICKARD_STARK,Rickard Stark,1
RICKON,Rickon,1
ROBB,Robb,1
ROBERT,Robert,1
ROBIN,Robin,1
RODRIK,Rodrik,1
ROOSE_BOLTON,Roose,1
ROS,Ros,1
ROYCE,Royce,1
RYGER_RIVERS,Ryger,1
SAM,Sam,1
SANSA,Sansa,1
SEPTA_MORDANE,Septa Mordane,1
SHAE,Shae,1
SHAGGA,Shagga,1
STABLE_BOY,Stable Boy,1
STANNIS,Stannis,1
STEFFON,Steffon,1
STEVRON_FREY,Stevron,1
SYRIO_FOREL,Syrio,1
THEON,Theon,1
TOBHO_MOTT,Tobho Mott,1
TOMARD,Tomard,1
TOMMEN,Tommen,1
TYRION,Tyrion,1
TYSHA,Tysha,1
TYWIN,Tywin,1
VARDIS_EGEN,Vardis,1
VARLY,Varly,1
VARYS,Varys,1
VISERYS,Viserys,1
WALDER,Walder,1
WAYMAR_ROYCE,Waymar,1
WILL,Will,1
WINE_MERCHANT,Wine Merchant,1
YOREN,Yoren,1
AEGON,Aegon,2
AERYS,Aerys,2
ALTON,Alton,2
AMORY,Amory,2
ARYA,Arya,2
BALON,Balon,2
BARRA,Barra,2
BENJEN,Benjen,2
BILLY,Billy,2
BITER,Biter,2
BLACK_LORREN,Black Lorren,2
BOROS,Boros,2
BRAN,Bran,2
BRIENNE,Brienne,2
BRONN,Bronn,2
CAPTAINS_DAUGHTER,Captain's Daughter,2
CATELYN,Catelyn,2
CERSEI,Cersei,2
COLEN,Colen,2
CRASTER,Craster,2
CRESSEN,Cressen,2
DAENERYS,Daenerys,2
DAGMER,Dagmer,2
DAISY,Daisy,2
DAVOS,Davos,2
DONTOS,Dontos,2
DOREAH,Doreah,2
DROGO,Drogo,2
DROWNED_PRIEST,Drowned Priest,2
EDDISON_TOLLETT,Eddison,2
FARLEN,Farlen,2
FATHER_SEAWORTH,Father Seaworth,2
FREY_DAUGHTER,Frey Daughter,2
GENDRY,Gendry,2
GERARD,Gerard,2
GILLY,Gilly,2
GRENN,Grenn,2
HARREN,Harren,2
HAYLENE,Haylene,2
HIGH_SEPTON,High Septon,2
HODOR,Hodor,2
HOT_PIE,Hot Pie,2
HOUND,Sandor,2
ILYN_PAYNE,Ilyn,2
IRRI,Irri,2
JACKS,Jacks,2
JAIME,Jaime,2
JANOS,Janos,2
JAQEN,Jaqen,2
JEOR,Jeor,2
JOANNA,Joanna,2
JOFFREY,Joffrey,2
JON,Jon,2
JON_ARRYN,Jon Arryn,2
JORAH,Jorah,2
KEVAN,Kevan,2
KOVARRO,Kovarro,2
LANCEL,Lancel,2
LITTLEFINGER,Petyr,2
LOMMY,Lommy,2
LORAS,Loras,2
LYSA,Lysa,2
MAESTER_LUWIN,Luwin,2
MALAKKO,Malakko,2
MANCE,Mance,2
MANDON,Mandon,2
MARGAERY,Margaery,2
MARYA,Marya,2
MATTHOS,Matthos,2
MELESSA,Melessa,2
MELISANDRE,Melisandre,2
MERYN_TRANT,Meryn,2
MHAEGEN,Mhaegen,2
MOUNTAIN,Gregor,2
MYRCELLA,Myrcella,2
NED,Ned,2
OSHA,Osha,2
PODRICK,Podrick,2
POLLIVER,Polliver,2
PORTAN,Portan,2
PROTESTER,Protester,2
PYATT_PREE,Pyatt Pree,2
PYCELLE,Pycelle,2
QHORIN,Quorin,2
QUAITHE,Quaithe,2
QUENT,Quent,2
RAKHARO,Rakharo,2
RAMSAY,Ramsay,2
RANDYLL,Randyll,2
LORD_OF_BONES,Lord of Bones,2
REGINALD,Reginald,2
RENLY,Renly,2
