name,house,epithets
TYRION LANNISTER,Casa Lannister,Mão da Rainha;Mestre da Moeda (ex);O Anão;Conselheiro político
JON,Casa Stark (Snow) / Targaryen (sangue),Lord Commander da Patrulha da Noite;Rei do Norte;Aegon Targaryen;Líder militar
SANSA,Casa Stark,Lady de Winterfell;Lady Sansa Stark;Ex‑Lady do Vale;Estratega política
ARYA,Casa Stark,Arya Stark de Winterfell;Faceless;Assassina;Viajante
DAENERYS,Casa Targaryen,Mãe dos Dragões;Rainha de Meereen;Quebradora de Correntes;Pretendente ao Trono
JAIME,Casa Lannister,Ser Jaime;Kingslayer;Comandante militar;Irmão de Cersei
CERSEI,Casa Lannister,Rainha dos Sete Reinos;Regente;Matriarca Lannister
NED,Casa Stark,Lord de Winterfell;Warden do Norte;Hand of the King
SAM,Casa Tarly (origem),Maester‑in‑training;Estudioso;Bibliotecário;Futuro maester
DAVOS,Casa Baratheon (aliado),Onion Knight;Conselheiro naval;Emissário
BRAN,Casa Stark,Three‑Eyed Raven;Bran the Broken;Vidente;Warg
THEON,Casa Greyjoy,Príncipe das Ilhas de Ferro;Reek;Redimido
JOFFREY,Casa Baratheon / Lannister,Rei Joffrey;Monarca jovem e cruel;Filho de Cersei (legitimidade contestada)
VARYS,Sem casa,The Spider;Mestre dos Sussurros;Conselheiro;Manipulador de informação
HOUND,Casa Clegane,The Hound;Guerreiro;Guarda real ocasional
JORAH,Casa Mormont (origem),Ser Jorah;Exilado;Conselheiro e protetor de Daenerys
BRONN,Sem casa nobre,Sellsword;Mercenário;Cavaleiro por compra de título
LITTLEFINGER,Casa Baelish,Master of Coin (ex);Lord Protector do Vale;Manipulador político
TORMUND,Povo Livre,Líder dos selvagens;Guerreiro do Norte;Aliado de Jon
BRIENNE,Casa Tarth,Ser Brienne;Cavaleira leal;Protetora dos Stark
TYWIN,Casa Lannister,Lord de Casterly Rock;Warden do Oeste;Chefe da família
CATELYN,Casa Tully / Stark,Lady Catelyn;Matriarca;Defensora dos filhos
ROBB,Casa Stark,Rei no Norte;Comandante militar jovem
ROBERT,Casa Baratheon,Rei dos Sete Reinos;Ex‑Lord of Storm's End;Rei festeiro
STANNIS,Casa Baratheon,Lord de Dragonstone;Pretendente ao trono;Comandante austero
GREY_WORM,Unsullied,Comandante dos Unsullied;General de Daenerys
PODRICK,Sem casa nobre,Escudeiro de Tyrion e Brienne;Fiel
GENDRY,Bastardo Baratheon (origem),Ferreiro;Legitimado como Lord Gendry Baratheon;Herdeiro
MISSANDEI,Meereen / Naath,Missandei of Naath;Tradutora;Conselheira de Daenerys
EDDISON_TOLLETT,Night's Watch,Edd;Irmão da Muralha;Soldado
MELISANDRE,Seguidores de R'hllor,A Vermelha;Sacerdotisa;Conselheira mística
MOUNTAIN,Casa Clegane,Ser Gregor;The Mountain;Campeão brutal
YARA,Casa Greyjoy,Senhora das Ilhas de Ferro;Capitã;Chefe guerreira
